id;country;continent_part;continents;continent
1;Albania;Southeast Europe;Europe;Europe
2;Andorra;Southern Europe;Europe;Europe
3;Armenia;Western Asia;Europe & Asia;Asia
4;Australia;Australia;Australia;Australia
5;Austria;Central Europe;Europe;Europe
6;Azerbaijan;Western Asia;Europe & Asia;Asia
7;Belarus;Eastern Europe;Europe;Europe
8;Belgium;Western Europe;Europe;Europe
9;Bosnia and Herzegovina;Southern Europe;Europe;Europe
10;Bulgaria;Southeast Europe;Europe;Europe
11;Croatia;Southeast Europe;Europe;Europe
12;Cyprus;Eastern Europe;Europe & Asia;Europe
13;Czech Republic;Central Europe;Europe;Europe
14;Denmark;Northern Europe;Europe;Europe
15;Estonia;Northern Europe;Europe;Europe
16;Finland;Northern Europe;Europe;Europe
17;France;Western Europe;Europe;Europe
18;Georgia;Eastern Europe;Europe & Asia;Europe
19;Germany;Central Europe;Europe;Europe
20;Greece;Southeast Europe;Europe;Europe
21;Hungary;Central Europe;Europe;Europe
22;Iceland;Northwestern Europe;Europe & North America;Europe
23;Ireland;Northwestern Europe;Europe;Europe
24;Israel;Western Asia;Europe & Asia;Asia
25;Italy;Southern Europe;Europe;Europe
26;Latvia;Northern Europe;Europe;Europe
27;Lithuania;Northern Europe;Europe;Europe
28;Luxembourg;Western Europe;Europe;Europe
29;Malta;Southern Europe;Europe;Europe
30;Moldova;Eastern Europe;Europe;Europe
31;Monaco;Western Europe;Europe;Europe
32;Montenegro;Southeast Europe;Europe;Europe
33;Morocco;North Africa;Africa;Africa
34;Netherlands;Western Europe;Europe;Europe
35;Macedonia;Southeast Europe;Europe;Europe
36;Norway;Northern Europe;Europe;Europe
37;Poland;Central Europe;Europe;Europe
38;Portugal;Southwestern Europe;Europe;Europe
39;Romania;Central Europe;Europe;Europe
40;Russia;Eastern Europe;Europe & Asia;Europe
41;San Marino;Southern Europe;Europe;Europe
42;Serbia;Central Europe;Europe;Europe
43;Serbia and Montenegro;Southern Europe;Europe;Europe
44;Slovakia;Central Europe;Europe;Europe
45;Slovenia;Central Europe;Europe;Europe
46;Spain;Southwestern Europe;Europe;Europe
47;Sweden;Northern Europe;Europe;Europe
48;Switzerland;Western Europe;Europe;Europe
49;Turkey;Western Asia;Europe & Asia;Asia
50;Europe;Eastern Europe;Europe;Europe
51;United Kingdom;Northwestern Europe;Europe;Europe
52;Yugoslavia;Southeast Europe;Europe;Europe