year;decade;century
1975;70s;20th
1976;70s;20th
1977;70s;20th
1978;70s;20th
1979;70s;20th
1980;80s;20th
1981;80s;20th
1982;80s;20th
1983;80s;20th
1984;80s;20th
1985;80s;20th
1986;80s;20th
1987;80s;20th
1988;80s;20th
1989;80s;20th
1990;90s;20th
1991;90s;20th
1992;90s;20th
1993;90s;20th
1994;90s;20th
1995;90s;20th
1996;90s;20th
1997;90s;20th
1998;90s;20th
1999;90s;20th
2000;00s;21th
2001;00s;21th
2002;00s;21th
2003;00s;21th
2004;00s;21th
2005;00s;21th
2006;00s;21th
2007;00s;21th
2008;00s;21th
2009;00s;21th
2010;10s;21th
2011;10s;21th
2012;10s;21th
2013;10s;21th
2014;10s;21th
2015;10s;21th
2016;10s;21th
2017;10s;21th
2018;10s;21th
2019;10s;21th