From;To;Points given by voting;Points given to voted;Points given from voting to voted
Poland;Czech Republic;696;479;9
Serbia;Czech Republic;696;479;9
Germany;Czech Republic;696;479;8
Malta;Czech Republic;696;479;8
France;Czech Republic;696;479;7
Greece;Czech Republic;696;479;7
Latvia;Czech Republic;696;479;7
Sweden;Czech Republic;696;479;7
Denmark;Czech Republic;696;479;6
United Kingdom;Czech Republic;696;479;6
Azerbaijan;Czech Republic;638;479;6
Italy;Czech Republic;522;479;4
Russia;Czech Republic;580;479;2
Albania;Czech Republic;696;479;1
Montenegro;Czech Republic;696;479;1
Switzerland;Czech Republic;696;479;0
Luxembourg;Czech Republic;0;0;0
Monaco;Czech Republic;0;0;0
Morocco;Czech Republic;0;0;0
Serbia and Montenegro;Czech Republic;0;0;0
Yugoslavia;Czech Republic;0;0;0
Andorra;Czech Republic;174;0;0
Turkey;Czech Republic;174;0;0
Slovakia;Czech Republic;58;0;0
Iceland;Denmark;1276;1739;126
Norway;Denmark;1276;1739;112
Sweden;Denmark;1334;1746;105
Monaco;Denmark;174;151;10
Netherlands;Denmark;1276;1739;81
Hungary;Denmark;986;1192;56
Italy;Denmark;754;933;42
Australia;Denmark;522;423;23
Slovenia;Denmark;1276;1551;70
Ireland;Denmark;1276;1739;74
Estonia;Denmark;1334;1746;75
United Kingdom;Denmark;1334;1746;72
Latvia;Denmark;1334;1746;70
Poland;Denmark;1102;1242;51
Slovakia;Denmark;232;378;13
Germany;Denmark;1334;1746;67
Finland;Denmark;1276;1569;52
Israel;Denmark;1334;1746;55
Malta;Denmark;1334;1746;49
Andorra;Denmark;348;285;8
Czech Republic;Denmark;696;557;15
Luxembourg;Denmark;0;0;0
Morocco;Denmark;0;0;0
Yugoslavia;Denmark;0;0;0
France;Denmark;1334;1746;45
Belgium;Denmark;1276;1569;38
Spain;Denmark;1334;1746;42
Romania;Denmark;1160;1569;36
Montenegro;Denmark;870;933;19
Portugal;Denmark;1044;1263;26
Lithuania;Denmark;1276;1551;31
Serbia;Denmark;928;1142;19
Ukraine;Denmark;986;1247;21
Georgia;Denmark;928;1142;17
Croatia;Denmark;1218;1672;29
Austria;Denmark;1044;1260;20
San Marino;Denmark;812;993;13
Cyprus;Denmark;1218;1495;20
Macedonia;Denmark;1276;1569;21
Belarus;Denmark;1160;1367;15
Russia;Denmark;1218;1669;24
Switzerland;Denmark;1276;1569;19
Moldova;Denmark;1102;1367;15
Armenia;Denmark;986;1221;10
Greece;Denmark;1276;1551;13
Azerbaijan;Denmark;928;1216;9
Bulgaria;Denmark;870;1173;9
Serbia and Montenegro;Denmark;174;151;0
Albania;Denmark;1160;1367;3
Bosnia and Herzegovina;Denmark;754;773;0
Turkey;Denmark;696;968;6
Latvia;Estonia;1392;1160;105
Finland;Estonia;1276;948;83
Slovakia;Estonia;232;293;22
Lithuania;Estonia;1276;1048;71
Ireland;Estonia;1334;1049;54
Sweden;Estonia;1392;1160;54
Iceland;Estonia;1334;1049;47
Denmark;Estonia;1334;1146;50
Moldova;Estonia;1102;739;28
Russia;Estonia;1276;1160;41
Israel;Estonia;1392;1160;38
Netherlands;Estonia;1334;1049;34
United Kingdom;Estonia;1392;1160;36
Turkey;Estonia;754;714;22
Georgia;Estonia;928;610;18
Portugal;Estonia;1102;932;27
Italy;Estonia;754;610;17
Poland;Estonia;1160;812;22
Norway;Estonia;1334;1049;28
Australia;Estonia;522;427;11
Germany;Estonia;1392;1160;28
Bosnia and Herzegovina;Estonia;812;616;14
Greece;Estonia;1334;1062;24
Slovenia;Estonia;1334;1062;24
France;Estonia;1392;1160;25
Macedonia;Estonia;1276;948;20
Malta;Estonia;1392;1160;24
Belarus;Estonia;1160;739;15
Ukraine;Estonia;1044;571;11
Croatia;Estonia;1276;1054;20
Hungary;Estonia;986;739;13
Spain;Estonia;1392;1160;20
Austria;Estonia;1102;833;14
Cyprus;Estonia;1276;962;16
Serbia;Estonia;928;739;11
Azerbaijan;Estonia;928;739;11
Czech Republic;Estonia;696;556;7
Romania;Estonia;1218;962;12
Albania;Estonia;1160;739;8
Switzerland;Estonia;1276;948;10
Belgium;Estonia;1334;962;10
Montenegro;Estonia;870;695;6
San Marino;Estonia;812;610;5
Bulgaria;Estonia;870;557;2
Armenia;Estonia;986;619;2
Andorra;Estonia;348;129;0
Luxembourg;Estonia;0;0;0
Morocco;Estonia;0;0;0
Yugoslavia;Estonia;0;0;0
Monaco;Estonia;174;0;0
Serbia and Montenegro;Estonia;174;0;0
Estonia;Finland;1276;632;69
Sweden;Finland;1276;632;69
Iceland;Finland;1218;608;57
Australia;Finland;522;46;4
Norway;Finland;1218;608;39
Andorra;Finland;348;402;21
Denmark;Finland;1276;632;30
Poland;Finland;1044;577;22
United Kingdom;Finland;1276;632;22
Italy;Finland;754;188;6
Germany;Finland;1276;632;18
Switzerland;Finland;1276;632;18
San Marino;Finland;812;223;6
Israel;Finland;1276;632;17
Lithuania;Finland;1218;614;16
Serbia and Montenegro;Finland;174;292;7
Netherlands;Finland;1218;608;14
Ireland;Finland;1218;608;13
Bosnia and Herzegovina;Finland;696;483;10
Hungary;Finland;986;298;6
Greece;Finland;1218;614;12
Czech Republic;Finland;696;156;3
Latvia;Finland;1276;632;12
Macedonia;Finland;1276;632;12
Croatia;Finland;1160;560;10
Belgium;Finland;1276;632;11
France;Finland;1276;632;11
Malta;Finland;1276;632;10
Spain;Finland;1276;632;10
Bulgaria;Finland;870;518;8
Austria;Finland;1044;283;4
Turkey;Finland;638;501;7
Belarus;Finland;1160;590;8
Slovenia;Finland;1218;614;8
Romania;Finland;1160;632;8
Russia;Finland;1160;632;8
Cyprus;Finland;1218;560;7
Ukraine;Finland;986;590;7
Portugal;Finland;986;577;6
Moldova;Finland;1102;590;6
Serbia;Finland;928;226;0
Azerbaijan;Finland;928;245;0
Montenegro;Finland;870;241;0
Georgia;Finland;928;276;0
Slovakia;Finland;232;79;0
Albania;Finland;1160;590;0
Armenia;Finland;986;590;0
Monaco;Finland;174;292;0
Luxembourg;Finland;0;0;0
Morocco;Finland;0;0;0
Yugoslavia;Finland;0;0;0
Monaco;France;174;56;15
Andorra;France;348;229;26
Armenia;France;986;1032;73
Belgium;France;1334;1232;82
Bosnia and Herzegovina;France;812;936;54
Israel;France;1392;1374;64
Spain;France;1392;1374;64
Portugal;France;1102;994;42
Greece;France;1334;1369;53
Iceland;France;1334;1270;49
Australia;France;522;674;26
Ukraine;France;1044;1014;38
Albania;France;1160;1104;41
Finland;France;1276;1213;45
Lithuania;France;1276;1350;48
Russia;France;1276;1239;44
Cyprus;France;1276;1230;40
Italy;France;754;793;25
Switzerland;France;1276;1213;34
Croatia;France;1276;1368;37
Sweden;France;1392;1374;37
Latvia;France;1392;1374;31
Denmark;France;1334;1355;29
Estonia;France;1392;1374;29
United Kingdom;France;1392;1374;29
Netherlands;France;1334;1270;25
Poland;France;1160;1230;24
Georgia;France;928;941;18
Ireland;France;1334;1270;23
Bulgaria;France;870;953;17
Slovenia;France;1334;1369;24
Norway;France;1334;1270;22
Malta;France;1392;1374;23
Germany;France;1392;1374;22
Romania;France;1218;975;15
Austria;France;1102;991;15
San Marino;France;812;840;12
Montenegro;France;870;884;12
Moldova;France;1102;1064;13
Macedonia;France;1276;1213;13
Belarus;France;1160;1104;11
Serbia;France;928;1046;10
Azerbaijan;France;928;1029;9
Czech Republic;France;696;847;7
Hungary;France;986;977;3
Turkey;France;754;684;1
Serbia and Montenegro;France;174;56;0
Slovakia;France;232;292;0
Luxembourg;France;0;0;0
Morocco;France;0;0;0
Yugoslavia;France;0;0;0
Armenia;Georgia;870;631;75
Lithuania;Georgia;928;631;69
Ukraine;Georgia;754;580;51
Azerbaijan;Georgia;870;534;43
Russia;Georgia;812;631;45
Belarus;Georgia;928;631;34
Turkey;Georgia;290;426;22
Greece;Georgia;928;631;32
Moldova;Georgia;928;631;27
Poland;Georgia;812;581;24
Estonia;Georgia;928;631;22
San Marino;Georgia;812;398;13
Belgium;Georgia;928;631;18
Czech Republic;Georgia;638;335;9
Latvia;Georgia;928;631;16
Israel;Georgia;928;631;15
Cyprus;Georgia;870;631;13
Hungary;Georgia;870;495;10
Italy;Georgia;754;315;6
United Kingdom;Georgia;928;631;12
Bulgaria;Georgia;696;580;10
Croatia;Georgia;812;580;9
Germany;Georgia;928;631;8
Finland;Georgia;928;631;7
Ireland;Georgia;928;631;6
Sweden;Georgia;928;631;6
Bosnia and Herzegovina;Georgia;406;530;5
Macedonia;Georgia;928;631;5
Malta;Georgia;928;631;5
Australia;Georgia;522;155;1
Montenegro;Georgia;812;385;2
Slovenia;Georgia;928;631;3
Iceland;Georgia;928;631;2
Netherlands;Georgia;928;631;2
Portugal;Georgia;754;477;1
Norway;Georgia;928;631;1
Spain;Georgia;928;631;1
Switzerland;Georgia;928;631;1
Austria;Georgia;812;412;0
Romania;Georgia;812;527;0
Albania;Georgia;928;631;0
Denmark;Georgia;928;631;0
France;Georgia;928;631;0
Serbia;Georgia;870;631;0
Slovakia;Georgia;174;246;0
Andorra;Georgia;116;180;0
Luxembourg;Georgia;0;0;0
Monaco;Georgia;0;0;0
Morocco;Georgia;0;0;0
Serbia and Montenegro;Georgia;0;0;0
Yugoslavia;Georgia;0;0;0
Switzerland;Germany;1276;1245;108
Austria;Germany;1102;967;69
Monaco;Germany;174;133;9
Denmark;Germany;1334;1311;83
Spain;Germany;1392;1364;84
Ireland;Germany;1334;1347;62
Netherlands;Germany;1334;1347;62
Albania;Germany;1160;1132;49
Italy;Germany;754;655;27
Poland;Germany;1160;1123;45
Australia;Germany;522;381;15
Norway;Germany;1334;1347;52
France;Germany;1392;1364;47
Latvia;Germany;1392;1364;44
Portugal;Germany;1102;1222;38
United Kingdom;Germany;1392;1364;41
Iceland;Germany;1334;1347;39
Estonia;Germany;1392;1364;37
Turkey;Germany;754;926;25
Sweden;Germany;1392;1364;35
Slovakia;Germany;232;498;12
Belgium;Germany;1334;1298;31
Lithuania;Germany;1276;1215;28
Russia;Germany;1276;1358;31
Slovenia;Germany;1334;1268;28
Andorra;Germany;348;231;5
Bulgaria;Germany;870;976;21
San Marino;Germany;812;669;14
Bosnia and Herzegovina;Germany;812;841;16
Serbia;Germany;928;960;18
Malta;Germany;1392;1364;22
Georgia;Germany;928;964;15
Romania;Germany;1218;1287;19
Hungary;Germany;986;757;11
Finland;Germany;1276;1245;17
Croatia;Germany;1276;1325;17
Armenia;Germany;986;925;11
Moldova;Germany;1102;1039;10
Israel;Germany;1392;1364;13
Macedonia;Germany;1276;1245;11
Ukraine;Germany;1044;1161;10
Greece;Germany;1334;1268;9
Belarus;Germany;1160;1132;8
Azerbaijan;Germany;928;950;6
Czech Republic;Germany;696;479;3
Cyprus;Germany;1276;1259;7
Montenegro;Germany;870;646;0
Serbia and Montenegro;Germany;174;133;0
Luxembourg;Germany;0;0;0
Morocco;Germany;0;0;0
Yugoslavia;Germany;0;0;0
Cyprus;Greece;1218;1789;200
Albania;Greece;1160;1772;129
Bulgaria;Greece;870;1388;92
San Marino;Greece;812;763;50
Armenia;Greece;986;1226;75
Romania;Greece;1160;1824;101
Germany;Greece;1334;1971;93
United Kingdom;Greece;1334;1971;87
Belgium;Greece;1276;1824;78
Serbia and Montenegro;Greece;174;610;25
Azerbaijan;Greece;928;1023;38
Russia;Greece;1218;1894;67
Turkey;Greece;696;1610;52
Hungary;Greece;986;1252;40
Serbia;Greece;928;1127;35
Montenegro;Greece;870;902;28
Malta;Greece;1334;1971;58
Bosnia and Herzegovina;Greece;812;1610;42
Netherlands;Greece;1276;1944;43
Italy;Greece;754;545;12
Switzerland;Greece;1218;1799;37
Spain;Greece;1334;1971;40
Israel;Greece;1334;1971;39
Sweden;Greece;1334;1971;39
Andorra;Greece;348;1087;21
Moldova;Greece;1102;1520;29
Macedonia;Greece;1218;1799;34
Belarus;Greece;1160;1772;33
Croatia;Greece;1218;1913;35
Georgia;Greece;928;1042;19
Monaco;Greece;174;610;10
France;Greece;1334;1971;32
Iceland;Greece;1276;1944;29
Slovenia;Greece;1334;1971;26
Ukraine;Greece;1044;1700;21
Czech Republic;Greece;696;651;8
Portugal;Greece;1102;1792;21
Poland;Greece;1160;1728;20
Slovakia;Greece;232;444;5
Austria;Greece;1044;1218;13
Denmark;Greece;1276;1946;20
Finland;Greece;1218;1799;18
Norway;Greece;1276;1944;19
Lithuania;Greece;1276;1946;19
Ireland;Greece;1276;1944;17
Estonia;Greece;1334;1971;12
Latvia;Greece;1334;1971;10
Australia;Greece;522;174;0
Luxembourg;Greece;0;0;0
Morocco;Greece;0;0;0
Yugoslavia;Greece;0;0;0
Slovakia;Hungary;174;72;8
Serbia;Hungary;870;704;68
Romania;Hungary;870;836;64
Serbia and Montenegro;Hungary;58;97;6
Croatia;Hungary;870;782;46
Andorra;Hungary;232;225;12
Finland;Hungary;986;944;49
Azerbaijan;Hungary;870;719;36
Montenegro;Hungary;870;794;32
Estonia;Hungary;986;944;38
Poland;Hungary;870;841;33
San Marino;Hungary;812;719;24
Iceland;Hungary;986;944;31
Czech Republic;Hungary;696;548;16
Sweden;Hungary;986;944;27
Bulgaria;Hungary;754;782;22
Germany;Hungary;986;944;26
Ukraine;Hungary;812;925;24
Albania;Hungary;986;944;24
Austria;Hungary;870;944;24
Netherlands;Hungary;986;944;23
Spain;Hungary;986;944;23
Cyprus;Hungary;928;801;19
Turkey;Hungary;348;297;7
Switzerland;Hungary;986;944;22
Greece;Hungary;986;944;21
Belarus;Hungary;986;944;20
Israel;Hungary;986;944;19
Slovenia;Hungary;986;944;16
Portugal;Hungary;812;752;12
Belgium;Hungary;986;944;15
Lithuania;Hungary;986;944;15
Denmark;Hungary;986;944;14
Macedonia;Hungary;986;944;14
Norway;Hungary;986;944;14
Russia;Hungary;870;744;10
Italy;Hungary;754;719;9
Latvia;Hungary;986;944;11
Malta;Hungary;986;944;11
France;Hungary;986;944;8
Ireland;Hungary;986;944;8
Moldova;Hungary;986;944;8
Georgia;Hungary;870;847;7
Bosnia and Herzegovina;Hungary;464;405;2
Armenia;Hungary;870;828;3
United Kingdom;Hungary;986;944;3
Australia;Hungary;522;420;0
Monaco;Hungary;58;97;0
Luxembourg;Hungary;0;0;0
Morocco;Hungary;0;0;0
Yugoslavia;Hungary;0;0;0
Monaco;Iceland;174;16;5
Norway;Iceland;1334;912;84
Australia;Iceland;522;232;18
Denmark;Iceland;1276;831;63
Finland;Iceland;1218;828;56
Hungary;Iceland;986;726;48
Sweden;Iceland;1334;912;52
Italy;Iceland;754;444;19
Malta;Iceland;1334;912;37
Estonia;Iceland;1334;912;36
United Kingdom;Iceland;1334;912;32
San Marino;Iceland;812;508;16
Germany;Iceland;1334;912;27
Latvia;Iceland;1334;912;27
Netherlands;Iceland;1334;912;26
Slovenia;Iceland;1276;867;24
Ireland;Iceland;1334;912;25
Slovakia;Iceland;232;366;10
Andorra;Iceland;348;298;8
Portugal;Iceland;1102;820;22
Belgium;Iceland;1276;909;24
Lithuania;Iceland;1218;786;20
Switzerland;Iceland;1218;828;20
Czech Republic;Iceland;696;514;12
Poland;Iceland;1160;774;17
Israel;Iceland;1334;912;19
Turkey;Iceland;696;575;10
Romania;Iceland;1160;909;15
Russia;Iceland;1218;912;15
France;Iceland;1334;912;14
Spain;Iceland;1334;912;14
Belarus;Iceland;1160;783;11
Austria;Iceland;1044;586;8
Cyprus;Iceland;1218;851;11
Croatia;Iceland;1218;854;11
Armenia;Iceland;986;721;8
Montenegro;Iceland;870;665;7
Bulgaria;Iceland;870;477;5
Greece;Iceland;1276;867;9
Albania;Iceland;1160;783;6
Serbia;Iceland;928;709;5
Ukraine;Iceland;1044;632;4
Georgia;Iceland;928;549;3
Moldova;Iceland;1102;767;4
Macedonia;Iceland;1218;828;4
Bosnia and Herzegovina;Iceland;754;530;1
Serbia and Montenegro;Iceland;174;16;0
Azerbaijan;Iceland;928;767;0
Luxembourg;Iceland;0;0;0
Morocco;Iceland;0;0;0
Yugoslavia;Iceland;0;0;0
United Kingdom;Ireland;1334;587;85
Monaco;Ireland;174;100;10
Czech Republic;Ireland;696;141;14
Australia;Ireland;522;136;12
Denmark;Ireland;1276;534;30
Sweden;Ireland;1334;587;32
Germany;Ireland;1334;587;29
Malta;Ireland;1334;587;27
Portugal;Ireland;1102;490;22
Switzerland;Ireland;1218;528;23
Slovakia;Ireland;232;190;8
Finland;Ireland;1218;528;22
Andorra;Ireland;348;105;4
Latvia;Ireland;1334;587;21
Netherlands;Ireland;1334;587;21
Austria;Ireland;1044;463;16
Belgium;Ireland;1276;581;20
Norway;Ireland;1334;587;20
Croatia;Ireland;1218;587;18
Iceland;Ireland;1334;587;17
Cyprus;Ireland;1218;581;16
Albania;Ireland;1160;436;12
Spain;Ireland;1334;587;16
Turkey;Ireland;696;446;12
Lithuania;Ireland;1218;442;10
Poland;Ireland;1160;444;10
Estonia;Ireland;1334;587;12
Italy;Ireland;754;306;5
Israel;Ireland;1334;587;8
San Marino;Ireland;812;306;4
France;Ireland;1334;587;6
Hungary;Ireland;986;311;3
Bulgaria;Ireland;870;429;4
Romania;Ireland;1160;581;5
Armenia;Ireland;986;383;3
Ukraine;Ireland;1044;489;3
Slovenia;Ireland;1276;495;3
Bosnia and Herzegovina;Ireland;754;354;2
Azerbaijan;Ireland;928;331;1
Belarus;Ireland;1160;436;1
Montenegro;Ireland;870;192;0
Serbia;Ireland;928;336;0
Georgia;Ireland;928;336;0
Moldova;Ireland;1102;429;0
Greece;Ireland;1276;495;0
Macedonia;Ireland;1218;528;0
Russia;Ireland;1218;587;0
Serbia and Montenegro;Ireland;174;100;0
Luxembourg;Ireland;0;0;0
Morocco;Ireland;0;0;0
Yugoslavia;Ireland;0;0;0
Slovakia;Israel;232;124;13
France;Israel;1392;1327;113
Monaco;Israel;174;158;12
Andorra;Israel;348;335;15
Finland;Israel;1276;1285;57
Azerbaijan;Israel;928;1083;46
Ukraine;Israel;1044;1126;44
San Marino;Israel;812;959;37
Netherlands;Israel;1334;1290;47
Australia;Israel;522;835;30
Moldova;Israel;1102;1241;42
Bosnia and Herzegovina;Israel;812;620;20
Germany;Israel;1392;1327;41
United Kingdom;Israel;1392;1327;40
Belgium;Israel;1334;1302;39
Italy;Israel;754;835;25
Georgia;Israel;928;1030;30
Russia;Israel;1276;1288;37
Czech Republic;Israel;696;1012;29
Serbia;Israel;928;1083;30
Romania;Israel;1218;1167;32
Malta;Israel;1392;1327;35
Belarus;Israel;1160;1241;31
Norway;Israel;1334;1290;32
Bulgaria;Israel;870;1109;26
Spain;Israel;1392;1327;31
Hungary;Israel;986;1166;27
Cyprus;Israel;1276;1302;30
Armenia;Israel;986;1087;24
Austria;Israel;1102;1050;22
Turkey;Israel;754;492;10
Croatia;Israel;1276;1230;25
Poland;Israel;1160;1283;26
Albania;Israel;1160;1241;25
Ireland;Israel;1334;1290;23
Sweden;Israel;1392;1327;22
Switzerland;Israel;1276;1285;21
Iceland;Israel;1334;1290;20
Lithuania;Israel;1276;1303;19
Montenegro;Israel;870;1012;13
Portugal;Israel;1102;1148;14
Greece;Israel;1334;1320;16
Latvia;Israel;1392;1327;16
Slovenia;Israel;1334;1320;12
Macedonia;Israel;1276;1285;11
Denmark;Israel;1334;1310;11
Estonia;Israel;1392;1327;6
Serbia and Montenegro;Israel;174;158;0
Luxembourg;Israel;0;0;0
Morocco;Israel;0;0;0
Yugoslavia;Israel;0;0;0
Malta;Italy;754;1979;137
Albania;Italy;754;1979;132
Spain;Italy;754;1979;89
San Marino;Italy;754;1979;88
France;Italy;754;1979;81
Switzerland;Italy;754;1979;75
Cyprus;Italy;696;1946;73
Greece;Italy;754;1979;68
Montenegro;Italy;696;1790;61
Austria;Italy;754;1979;65
Croatia;Italy;638;1654;54
Slovenia;Italy;754;1979;63
Portugal;Italy;580;1729;55
Belgium;Italy;754;1979;61
Serbia;Italy;696;1946;58
Macedonia;Italy;754;1979;55
Israel;Italy;754;1979;49
Lithuania;Italy;754;1979;48
Germany;Italy;754;1979;46
Romania;Italy;638;1855;39
Finland;Italy;754;1979;40
Norway;Italy;754;1979;40
Armenia;Italy;696;1878;37
Netherlands;Italy;754;1979;38
Slovakia;Italy;116;290;5
Georgia;Italy;754;1979;34
Latvia;Italy;754;1979;34
Poland;Italy;638;1752;29
Hungary;Italy;754;1979;32
Azerbaijan;Italy;754;1979;31
Iceland;Italy;754;1979;30
Moldova;Italy;754;1979;29
Bosnia and Herzegovina;Italy;232;414;6
Estonia;Italy;754;1979;28
Sweden;Italy;754;1979;27
Czech Republic;Italy;522;1530;20
Ireland;Italy;754;1979;25
Russia;Italy;638;1645;20
Australia;Italy;522;1530;15
Belarus;Italy;754;1979;18
United Kingdom;Italy;754;1979;17
Ukraine;Italy;580;1215;9
Denmark;Italy;754;1979;12
Bulgaria;Italy;522;1182;6
Turkey;Italy;116;290;0
Andorra;Italy;0;0;0
Luxembourg;Italy;0;0;0
Monaco;Italy;0;0;0
Morocco;Italy;0;0;0
Serbia and Montenegro;Italy;0;0;0
Yugoslavia;Italy;0;0;0
Lithuania;Latvia;1276;830;91
Estonia;Latvia;1392;966;83
Ireland;Latvia;1334;790;66
United Kingdom;Latvia;1392;966;47
San Marino;Latvia;812;401;18
Monaco;Latvia;174;183;8
Norway;Latvia;1334;790;34
Georgia;Latvia;928;455;19
Ukraine;Latvia;1044;452;18
Poland;Latvia;1160;654;26
Slovenia;Latvia;1334;830;32
Andorra;Latvia;348;320;12
Germany;Latvia;1392;966;34
Belgium;Latvia;1334;950;32
Malta;Latvia;1392;966;32
Denmark;Latvia;1334;966;31
Finland;Latvia;1276;950;30
Portugal;Latvia;1102;522;16
Iceland;Latvia;1334;790;24
Israel;Latvia;1392;966;27
Sweden;Latvia;1392;966;26
Spain;Latvia;1392;966;25
Belarus;Latvia;1160;638;16
Russia;Latvia;1276;966;23
Moldova;Latvia;1102;638;15
Switzerland;Latvia;1276;950;22
Hungary;Latvia;986;608;14
Austria;Latvia;1102;837;19
Australia;Latvia;522;318;7
Czech Republic;Latvia;696;455;9
France;Latvia;1392;966;18
Croatia;Latvia;1276;780;14
Greece;Latvia;1334;830;14
Macedonia;Latvia;1276;950;13
Italy;Latvia;754;318;4
Azerbaijan;Latvia;928;401;5
Netherlands;Latvia;1334;790;9
Cyprus;Latvia;1276;950;9
Turkey;Latvia;754;648;6
Romania;Latvia;1218;818;7
Bosnia and Herzegovina;Latvia;812;644;5
Montenegro;Latvia;870;455;3
Armenia;Latvia;986;485;2
